title,summary,link,publication_last_update
União Brasil e PP lançam federação com maior bancada na Câmara,Cúpula do PSDB aprova fusão com o Podemos,https://g1.globo.com/politica/noticia/2025/04/29/uniao-brasil-e-pp-anunciam-superfederacao-com-maior-bancada-na-camara-e-quase-14-mil-prefeitos-veja-numeros.ghtml,2025-04-29 21:03:24
Glauber perde recurso e pode ter mandato cassado na Câmara,,https://g1.globo.com/politica/noticia/2025/04/29/ccj-da-camara-rejeita-recurso-de-glauber-braga-e-cassacao-de-mandato-vai-ao-plenario.ghtml,2025-04-29 18:03:24
Camisa vermelha? CBF diz que ainda não definiu uniformes da seleção,"Suposta camisa vermelha teve 90% de comentários negativos, diz Quaest",https://ge.globo.com/futebol/futebol-internacional/noticia/2025/04/29/cbf-cita-compromisso-com-o-estatuto-e-diz-que-ainda-nao-definiu-uniformes-da-selecao-na-copa-de-2016.ghtml,2025-04-29 22:03:24
"CBF encerra negociação com Ancelotti, e Jorge Jesus vira bola da vez",,https://ge.globo.com/futebol/selecao-brasileira/noticia/2025/04/29/real-madrid-dificulta-liberacao-e-emperra-acerto-entre-carlo-ancelotti-e-cbf.ghtml,2025-04-29 20:03:24
PF diz que 3 diretores embolsaram R$ 17 milhões para manter fraude no INSS,O que a PF descobriu na investigação das fraudes no INSS | Lupi defende que INSS deixe de intermediar relação entre aposentados e associações | Investigada por fraude no INSS fez 33 viagens em menos de 1 ano,https://g1.globo.com/jornal-nacional/noticia/2025/04/29/pf-acusa-3-diretores-no-inss-de-embolsar-milhoes-para-manter-fraudes-iniciadas-em-2019.ghtml,2025-04-29 21:03:24
Mega-Sena acumula e vai a R$ 11 milhões; veja as dezenas,"Lotofácil: ninguém acerta números, e prêmio vai a R$ 7 milhões",https://g1.globo.com/loterias/mega-sena/noticia/2025/04/29/mega-sena-concurso-2857-resultado.ghtml,2025-04-29 20:03:24
Globo inaugura transmissão experimental da DTV+; entenda,Globo divulga relatório ESG com avanços em sustentabilidade e governança | Carlos Henrique Schroder é novo membro do Conselho de Administração do Grupo Globo,https://g1.globo.com/tecnologia/noticia/2025/04/29/globo-lanca-estacao-piloto-da-tv-30.ghtml,2025-04-29 18:03:24
Trump contesta queda de popularidade e sugere ter 70% de aprovação,Presidente americano diz que gostaria de ser o próximo papa | SANDRA COHEN: Trump semeia caos e vingança e já vê reação,https://g1.globo.com/mundo/noticia/2025/04/29/trump-contesta-pesquisas-que-apontam-queda-de-popularidade-e-afirma-ter-70percent-de-aprovacao.ghtml,2025-04-29 20:03:24
